County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,7,219,79,19,0.759493671,0.739130435,0.78125,450.0095,40.722720720720716
Bomet,27,661,298,62,0.7919463090000001,0.795,0.802197802,,32.5
Bungoma,45,1406,1314,243,0.815068493,0.834782609,0.77027027,,40.722720720720716
Busia,32,1789,1866,254,0.863879957,0.869429242,0.851468048,,40.722720720720716
Elgeyo Marakwet,15,101,169,28,0.834319527,0.838709677,0.818181818,,40.722720720720716
Embu,20,514,457,80,0.824945295,0.8297872340000001,0.834782609,,40.722720720720716
Garissa,7,50,42,9,0.7857142859999999,0.7777777779999999,0.857142857,234.7837,40.722720720720716
Homa Bay,144,5598,4104,694,0.830896686,0.843291592,0.8060046190000001,,40.722720720720716
Isiolo,6,102,111,29,0.7387387390000001,0.7222222220000001,0.75,,40.722720720720716
Kajiado,18,597,334,69,0.7934131740000001,0.788288288,0.817307692,,24.63
Kakamega,107,2531,2211,350,0.8417005879999999,0.8511597940000001,0.817886179,,28.18
Kericho,24,934,471,78,0.834394904,0.85443038,0.8235294120000001,,40.722720720720716
Kiambu,30,2142,1001,132,0.868131868,0.882170543,0.8367346940000001,,40.0
Kilifi,21,674,765,148,0.806535948,0.822306238,0.7720930229999999,,40.722720720720716
Kirinyaga,7,878,417,60,0.856115108,0.856088561,0.874074074,,40.722720720720716
Kisii,93,1872,1137,253,0.777484609,0.7907894740000001,0.770491803,,40.722720720720716
Kisumu,99,4354,5051,832,0.835280143,0.8489911729999999,0.833125,,40.722720720720716
Kitui,46,1456,931,183,0.8034371640000001,0.84,0.727272727,,40.722720720720716
Kwale,15,236,109,26,0.76146789,0.759036145,0.7692307690000001,,40.0
Laikipia,14,490,435,91,0.790804598,0.830188679,0.7419354840000001,,40.722720720720716
Lamu,3,88,15,3,0.8,0.857142857,0.0,35.6584,40.722720720720716
Machakos,45,1723,1156,183,0.841695502,0.854216867,0.803797468,,40.722720720720716
Makueni,44,1846,1128,200,0.822695035,0.8246110329999999,0.8059701490000001,,40.722720720720716
Mandera,2,0,17,9,0.470588235,0.538461538,0.25,168.3276,40.722720720720716
Marsabit,3,41,32,5,0.84375,0.869565217,0.7777777779999999,142.0924,34.09
Meru,38,1074,1010,132,0.8693069309999999,0.8870481929999999,0.8422818790000001,,40.722720720720716
Migori,78,3954,2494,355,0.85765838,0.846315789,0.830282862,,30.43
Mombasa,32,2370,2200,481,0.7813636359999999,0.7859973579999999,0.78343949,,40.722720720720716
Muranga,27,935,684,101,0.852339181,0.865,0.8280254779999999,,40.722720720720716
Nairobi,135,11322,9321,1160,0.8755498340000001,0.86906019,0.8627935720000001,,40.722720720720716
Nakuru,37,1812,1020,185,0.8186274509999999,0.834302326,0.78778135,,40.722720720720716
Nandi,22,894,496,92,0.814516129,0.837423313,0.7861635220000001,,40.722720720720716
Narok,19,550,348,103,0.704022989,0.74122807,0.657894737,,40.722720720720716
Nyamira,37,1070,240,40,0.833333333,0.826589595,0.8615384620000001,,40.722720720720716
Nyandarua,24,347,391,54,0.8618925829999999,0.890688259,0.807407407,,40.722720720720716
Nyeri,11,957,385,37,0.9038961040000001,0.918367347,0.875,,47.62
Samburu,1,90,25,5,0.8,0.7894736840000001,1.0,209.4398,40.722720720720716
Siaya,103,3198,2524,453,0.820522979,0.825849515,0.7990012479999999,,29.81
Taita Taveta,18,266,241,52,0.784232365,0.819444444,0.7179487179999999,,40.722720720720716
Tana River,3,95,27,3,0.8888888890000001,0.842105263,1.0,29.8984,40.722720720720716
Tharaka Nithi,13,200,184,43,0.766304348,0.79389313,0.688888889,,40.722720720720716
Trans Nzoia,11,641,859,163,0.81024447,0.819964349,0.807017544,,40.722720720720716
Turkana,27,348,326,131,0.598159509,0.608695652,0.539130435,,40.722720720720716
Uasin Gishu,18,1170,1352,332,0.75443787,0.756815703,0.7534883720000001,781.1623,40.722720720720716
Vihiga,35,942,1101,193,0.8247048140000001,0.838134431,0.801724138,,40.722720720720716
Wajir,3,24,23,9,0.608695652,0.625,0.571428571,144.7413,40.722720720720716
West Pokot,11,81,71,19,0.732394366,0.764705882,0.65,469.3307,40.722720720720716
