,Category,Not Suppressed,&lt; 1000,&lt; LDL,Suppression,90% Target,year,month
0,Nairobi,1440,918,7360,85.2,90,2015,1
1,Homa Bay,1383,772,6909,84.7,90,2015,1
2,Kisumu,1138,626,4042,80.4,90,2015,1
3,Siaya,1383,984,3375,75.9,90,2015,1
4,Migori,662,403,3452,85.3,90,2015,1
5,Nakuru,450,46,1763,80.1,90,2015,1
6,Kiambu,296,137,1778,86.6,90,2015,1
7,Busia,255,229,991,82.7,90,2015,1
8,Uasin Gishu,250,217,975,82.7,90,2015,1
9,Kisii,480,325,569,65.1,90,2015,1
10,Meru,164,10,973,85.7,90,2015,1
11,Machakos,179,21,887,83.5,90,2015,1
12,Nyeri,133,57,788,86.4,90,2015,1
13,Nyandarua,154,24,734,83.1,90,2015,1
14,Kajiado,172,23,687,80.5,90,2015,1
15,Kericho,131,104,532,82.9,90,2015,1
16,Mombasa,189,31,528,74.7,90,2015,1
17,Narok,154,26,551,78.9,90,2015,1
18,Tharaka Nithi,143,14,543,79.6,90,2015,1
19,Kitui,171,6,491,74.4,90,2015,1
20,Makueni,113,10,467,80.8,90,2015,1
21,Kirinyaga,70,40,467,87.9,90,2015,1
22,Bungoma,92,103,362,83.5,90,2015,1
23,Embu,102,5,401,79.9,90,2015,1
24,Nandi,82,78,318,82.8,90,2015,1
25,Muranga,63,27,364,86.1,90,2015,1
26,Laikipia,85,7,347,80.6,90,2015,1
27,Kakamega,85,6,313,79.0,90,2015,1
28,Bomet,76,47,258,80.1,90,2015,1
29,Turkana,145,8,214,60.5,90,2015,1
30,Trans Nzoia,69,67,205,79.8,90,2015,1
31,Kilifi,73,17,191,74.0,90,2015,1
32,Nyamira,45,1,199,81.6,90,2015,1
33,Isiolo,11,2,170,94.0,90,2015,1
34,Baringo,51,3,104,67.7,90,2015,1
35,Vihiga,32,2,123,79.6,90,2015,1
36,Garissa,9,0,59,86.8,90,2015,1
37,Marsabit,12,2,50,81.3,90,2015,1
38,West Pokot,8,12,29,83.7,90,2015,1
39,Taita Taveta,17,0,31,64.6,90,2015,1
40,Samburu,20,0,21,51.2,90,2015,1
41,Tana River,12,1,27,70.0,90,2015,1
42,Elgeyo Marakwet,5,6,16,81.5,90,2015,1
43,Lamu,8,1,12,61.9,90,2015,1
44,Kwale,6,0,9,60.0,90,2015,1
45,Wajir,0,0,0,0.0,90,2015,1
46,Mandera,0,0,0,0.0,90,2015,1
0,Kisumu,1164,536,5552,83.9,90,2015,2
1,Homa Bay,902,523,4576,85.0,90,2015,2
2,Siaya,1035,709,2918,77.8,90,2015,2
3,Migori,710,378,3367,84.1,90,2015,2
4,Nairobi,542,397,2737,85.3,90,2015,2
5,Busia,428,512,1767,84.2,90,2015,2
6,Uasin Gishu,387,301,1542,82.6,90,2015,2
7,Kericho,228,158,726,79.5,90,2015,2
8,Kiambu,162,87,859,85.4,90,2015,2
9,Meru,117,7,863,88.1,90,2015,2
10,Kakamega,149,27,761,84.1,90,2015,2
11,Kisii,206,149,529,76.7,90,2015,2
12,Nandi,172,164,482,79.0,90,2015,2
13,Bungoma,147,32,568,80.3,90,2015,2
14,Nakuru,138,11,591,81.4,90,2015,2
15,Mombasa,162,83,475,77.5,90,2015,2
16,Bomet,171,78,448,75.5,90,2015,2
17,Nyeri,95,61,506,85.6,90,2015,2
18,Machakos,131,11,492,79.3,90,2015,2
19,Kitui,137,2,487,78.1,90,2015,2
20,Nyamira,89,13,405,82.4,90,2015,2
21,Tharaka Nithi,93,5,369,80.1,90,2015,2
22,Embu,84,6,356,81.2,90,2015,2
23,Trans Nzoia,70,98,244,83.0,90,2015,2
24,Vihiga,67,4,311,82.5,90,2015,2
25,Kilifi,78,9,290,79.3,90,2015,2
26,Narok,112,22,235,69.6,90,2015,2
27,Kirinyaga,52,26,263,84.8,90,2015,2
28,Makueni,74,1,260,77.9,90,2015,2
29,Kajiado,87,9,222,72.6,90,2015,2
30,Laikipia,47,5,257,84.8,90,2015,2
31,Nyandarua,55,4,236,81.4,90,2015,2
32,Muranga,42,19,174,82.1,90,2015,2
33,Baringo,38,1,102,73.0,90,2015,2
34,Turkana,38,1,45,54.8,90,2015,2
35,Garissa,15,1,49,76.9,90,2015,2
36,Elgeyo Marakwet,7,23,30,88.3,90,2015,2
37,Tana River,16,2,40,72.4,90,2015,2
38,West Pokot,4,9,35,91.7,90,2015,2
39,Taita Taveta,10,0,16,61.5,90,2015,2
40,Marsabit,8,0,17,68.0,90,2015,2
41,Isiolo,0,0,20,100.0,90,2015,2
42,Kwale,7,0,7,50.0,90,2015,2
43,Samburu,5,0,5,50.0,90,2015,2
44,Wajir,0,0,0,0.0,90,2015,2
45,Mandera,0,0,0,0.0,90,2015,2
46,Lamu,0,0,0,0.0,90,2015,2
0,Kisumu,758,427,4040,85.5,90,2015,3
1,Siaya,937,544,3049,79.3,90,2015,3
2,Homa Bay,805,339,2964,80.4,90,2015,3
3,Migori,642,265,2307,80.0,90,2015,3
4,Nairobi,509,363,2331,84.1,90,2015,3
5,Kisii,540,541,1671,80.4,90,2015,3
6,Busia,522,503,1576,79.9,90,2015,3
7,Uasin Gishu,337,326,1301,82.8,90,2015,3
8,Kakamega,428,36,1377,76.8,90,2015,3
9,Kiambu,158,109,1130,88.7,90,2015,3
10,Bungoma,237,91,769,78.4,90,2015,3
11,Nakuru,202,32,828,81.0,90,2015,3
12,Kericho,211,135,715,80.1,90,2015,3
13,Mombasa,211,168,477,75.4,90,2015,3
14,Bomet,187,78,538,76.7,90,2015,3
15,Nandi,158,151,466,79.6,90,2015,3
16,Meru,109,18,638,85.8,90,2015,3
17,Kitui,161,19,584,78.9,90,2015,3
18,Nyamira,139,8,483,77.9,90,2015,3
19,Machakos,119,21,486,81.0,90,2015,3
20,Trans Nzoia,89,139,359,84.8,90,2015,3
21,Kajiado,95,25,420,82.4,90,2015,3
22,Vihiga,100,4,399,80.1,90,2015,3
23,Makueni,117,13,341,75.2,90,2015,3
24,Embu,67,12,360,84.7,90,2015,3
25,Nyeri,46,20,303,87.5,90,2015,3
26,Turkana,136,14,206,61.8,90,2015,3
27,Narok,72,35,234,78.9,90,2015,3
28,Kilifi,65,19,239,79.9,90,2015,3
29,Nyandarua,53,9,235,82.2,90,2015,3
30,Kirinyaga,45,17,195,82.5,90,2015,3
31,Tharaka Nithi,51,13,160,77.2,90,2015,3
32,Laikipia,38,4,157,80.9,90,2015,3
33,Muranga,19,11,129,88.1,90,2015,3
34,Baringo,44,2,83,65.9,90,2015,3
35,Garissa,17,1,94,84.8,90,2015,3
36,Marsabit,14,2,53,79.7,90,2015,3
37,Samburu,11,0,41,78.8,90,2015,3
38,Isiolo,3,0,48,94.1,90,2015,3
39,West Pokot,0,14,33,100.0,90,2015,3
40,Tana River,19,1,23,55.8,90,2015,3
41,Taita Taveta,7,5,17,75.9,90,2015,3
42,Wajir,5,1,15,76.2,90,2015,3
43,Kwale,1,1,9,90.9,90,2015,3
44,Elgeyo Marakwet,1,4,3,87.5,90,2015,3
45,Mandera,0,0,0,0.0,90,2015,3
46,Lamu,0,0,0,0.0,90,2015,3
0,Kisumu,703,363,3669,85.2,90,2015,4
1,Nairobi,676,472,3215,84.5,90,2015,4
2,Homa Bay,701,328,2884,82.1,90,2015,4
3,Siaya,657,350,1939,77.7,90,2015,4
4,Uasin Gishu,497,458,1934,82.8,90,2015,4
5,Migori,470,181,1860,81.3,90,2015,4
6,Busia,475,403,1416,79.3,90,2015,4
7,Kisii,435,228,1485,79.7,90,2015,4
8,Kakamega,315,16,1169,79.0,90,2015,4
9,Mombasa,273,210,891,80.1,90,2015,4
10,Kiambu,146,159,1030,89.1,90,2015,4
11,Bungoma,195,174,781,83.0,90,2015,4
12,Kericho,192,108,682,80.4,90,2015,4
13,Nakuru,173,107,691,82.2,90,2015,4
14,Trans Nzoia,162,169,553,81.7,90,2015,4
15,Bomet,147,89,572,81.8,90,2015,4
16,Nandi,184,144,467,76.9,90,2015,4
17,Meru,74,90,565,89.8,90,2015,4
18,Vihiga,154,3,528,77.5,90,2015,4
19,Machakos,105,64,501,84.3,90,2015,4
20,Narok,178,89,370,72.1,90,2015,4
21,Muranga,90,54,334,81.2,90,2015,4
22,Kirinyaga,72,14,376,84.4,90,2015,4
23,Turkana,108,79,273,76.5,90,2015,4
24,Nyamira,112,5,341,75.5,90,2015,4
25,Kilifi,83,38,333,81.7,90,2015,4
26,Makueni,43,60,342,90.3,90,2015,4
27,Kajiado,56,59,325,87.3,90,2015,4
28,Nyeri,42,27,268,87.5,90,2015,4
29,Kitui,42,38,241,86.9,90,2015,4
30,Laikipia,35,27,149,83.4,90,2015,4
31,Taita Taveta,35,16,152,82.8,90,2015,4
32,Embu,24,28,145,87.8,90,2015,4
33,Nyandarua,30,15,126,82.5,90,2015,4
34,Tharaka Nithi,16,2,114,87.9,90,2015,4
35,Kwale,26,12,66,75.0,90,2015,4
36,Baringo,19,6,69,79.8,90,2015,4
37,West Pokot,12,16,65,87.1,90,2015,4
38,Lamu,18,19,24,70.5,90,2015,4
39,Elgeyo Marakwet,7,16,38,88.5,90,2015,4
40,Samburu,16,3,29,66.7,90,2015,4
41,Marsabit,4,14,25,90.7,90,2015,4
42,Mandera,6,8,20,82.4,90,2015,4
43,Garissa,4,0,17,81.0,90,2015,4
44,Tana River,6,5,7,66.7,90,2015,4
45,Isiolo,3,1,5,66.7,90,2015,4
46,Wajir,0,0,1,100.0,90,2015,4
0,Kisumu,589,376,3852,87.8,90,2015,5
1,Homa Bay,783,412,3454,83.2,90,2015,5
2,Nairobi,573,416,2804,84.9,90,2015,5
3,Migori,572,247,2968,84.9,90,2015,5
4,Siaya,548,353,2044,81.4,90,2015,5
5,Uasin Gishu,458,451,1485,80.9,90,2015,5
6,Busia,253,232,1423,86.7,90,2015,5
7,Kisii,403,243,1172,77.8,90,2015,5
8,Kiambu,201,141,1402,88.5,90,2015,5
9,Mombasa,276,312,854,80.9,90,2015,5
10,Kakamega,154,46,951,86.6,90,2015,5
11,Bungoma,150,147,733,85.4,90,2015,5
12,Vihiga,65,55,676,91.8,90,2015,5
13,Nakuru,145,26,614,81.5,90,2015,5
14,Kericho,159,103,500,79.1,90,2015,5
15,Meru,90,29,589,87.3,90,2015,5
16,Nyamira,100,26,572,85.7,90,2015,5
17,Trans Nzoia,134,109,339,77.0,90,2015,5
18,Machakos,99,20,421,81.7,90,2015,5
19,Nandi,111,126,276,78.4,90,2015,5
20,Bomet,86,61,353,82.8,90,2015,5
21,Kirinyaga,53,31,321,86.9,90,2015,5
22,Makueni,73,14,291,80.7,90,2015,5
23,Kajiado,60,29,279,83.7,90,2015,5
24,Narok,88,25,202,72.1,90,2015,5
25,Kitui,51,16,235,83.1,90,2015,5
26,Kilifi,41,37,193,84.9,90,2015,5
27,Nyeri,36,21,211,86.6,90,2015,5
28,Taita Taveta,26,22,180,88.6,90,2015,5
29,Embu,30,5,119,80.5,90,2015,5
30,Laikipia,29,8,116,81.0,90,2015,5
31,Muranga,22,5,82,79.8,90,2015,5
32,Nyandarua,20,7,78,81.0,90,2015,5
33,Turkana,28,20,55,72.8,90,2015,5
34,Tharaka Nithi,23,6,71,77.0,90,2015,5
35,Elgeyo Marakwet,3,42,29,95.9,90,2015,5
36,Lamu,4,9,54,94.0,90,2015,5
37,Tana River,15,6,33,72.2,90,2015,5
38,Kwale,10,7,25,76.2,90,2015,5
39,Marsabit,9,0,22,71.0,90,2015,5
40,Baringo,11,0,18,62.1,90,2015,5
41,Isiolo,8,1,17,69.2,90,2015,5
42,Garissa,1,2,22,96.0,90,2015,5
43,Samburu,3,0,19,86.4,90,2015,5
44,West Pokot,5,11,6,77.3,90,2015,5
45,Wajir,0,0,0,0.0,90,2015,5
46,Mandera,0,0,0,0.0,90,2015,5
0,Nairobi,1025,852,5673,86.4,90,2015,6
1,Kisumu,482,421,3319,88.6,90,2015,6
2,Siaya,934,470,2777,77.7,90,2015,6
3,Homa Bay,613,363,3002,84.6,90,2015,6
4,Migori,511,299,2705,85.5,90,2015,6
5,Kiambu,368,277,2164,86.9,90,2015,6
6,Mombasa,435,503,1697,83.5,90,2015,6
7,Machakos,369,122,1966,85.0,90,2015,6
8,Nakuru,363,124,1687,83.3,90,2015,6
9,Meru,248,100,1488,86.5,90,2015,6
10,Uasin Gishu,284,243,1059,82.1,90,2015,6
11,Busia,177,187,1010,87.1,90,2015,6
12,Kisii,248,225,830,81.0,90,2015,6
13,Kitui,218,72,900,81.7,90,2015,6
14,Nyeri,178,112,877,84.7,90,2015,6
15,Kakamega,84,129,917,92.6,90,2015,6
16,Makueni,214,51,843,80.7,90,2015,6
17,Muranga,155,72,765,84.4,90,2015,6
18,Embu,144,35,678,83.2,90,2015,6
19,Kajiado,143,41,555,80.6,90,2015,6
20,Nyandarua,84,28,516,86.6,90,2015,6
21,Narok,136,59,404,77.3,90,2015,6
22,Bungoma,76,95,373,86.0,90,2015,6
23,Kericho,110,69,340,78.8,90,2015,6
24,Vihiga,60,41,402,88.1,90,2015,6
25,Laikipia,64,25,329,84.7,90,2015,6
26,Tharaka Nithi,74,18,289,80.6,90,2015,6
27,Nandi,102,58,199,71.6,90,2015,6
28,Turkana,125,28,194,64.0,90,2015,6
29,Kilifi,80,17,246,76.7,90,2015,6
30,Bomet,60,52,188,80.0,90,2015,6
31,Trans Nzoia,51,59,168,81.7,90,2015,6
32,Taita Taveta,43,12,214,84.0,90,2015,6
33,Nyamira,21,28,205,91.7,90,2015,6
34,Kirinyaga,35,13,168,83.8,90,2015,6
35,Isiolo,43,20,148,79.6,90,2015,6
36,Marsabit,22,9,87,81.4,90,2015,6
37,Baringo,40,3,67,63.6,90,2015,6
38,Tana River,18,4,75,81.4,90,2015,6
39,West Pokot,18,18,60,81.3,90,2015,6
40,Garissa,19,0,62,76.5,90,2015,6
41,Elgeyo Marakwet,10,9,27,78.3,90,2015,6
42,Samburu,9,2,29,77.5,90,2015,6
43,Kwale,11,2,18,64.5,90,2015,6
44,Mandera,8,0,9,52.9,90,2015,6
45,Lamu,0,8,5,100.0,90,2015,6
46,Wajir,4,0,4,50.0,90,2015,6
0,Nairobi,972,747,5773,87.0,90,2015,7
1,Kisumu,956,622,4291,83.7,90,2015,7
2,Homa Bay,882,436,3459,81.5,90,2015,7
3,Migori,683,351,3632,85.4,90,2015,7
4,Siaya,776,383,2969,81.2,90,2015,7
5,Uasin Gishu,647,372,1999,78.6,90,2015,7
6,Kiambu,343,165,1956,86.1,90,2015,7
7,Busia,398,192,1856,83.7,90,2015,7
8,Kakamega,407,70,1862,82.6,90,2015,7
9,Mombasa,387,534,1305,82.6,90,2015,7
10,Kisii,314,278,849,78.2,90,2015,7
11,Nakuru,247,51,1080,82.1,90,2015,7
12,Meru,215,50,1110,84.4,90,2015,7
13,Muranga,167,58,998,86.3,90,2015,7
14,Machakos,222,28,943,81.4,90,2015,7
15,Nyeri,156,91,845,85.7,90,2015,7
16,Trans Nzoia,152,124,532,81.2,90,2015,7
17,Bungoma,139,54,527,80.7,90,2015,7
18,Nandi,180,97,433,74.6,90,2015,7
19,Vihiga,135,9,562,80.9,90,2015,7
20,Kericho,153,107,443,78.2,90,2015,7
21,Kajiado,141,24,468,77.7,90,2015,7
22,Embu,97,27,482,84.0,90,2015,7
23,Kitui,132,14,445,77.7,90,2015,7
24,Tharaka Nithi,107,10,397,79.2,90,2015,7
25,Makueni,88,8,410,82.6,90,2015,7
26,Bomet,102,68,316,79.0,90,2015,7
27,Nyamira,82,12,335,80.9,90,2015,7
28,Kirinyaga,81,31,314,81.0,90,2015,7
29,Kilifi,78,6,323,80.8,90,2015,7
30,Narok,79,35,280,79.9,90,2015,7
31,Laikipia,53,16,288,85.2,90,2015,7
32,Nyandarua,53,16,282,84.9,90,2015,7
33,Turkana,113,9,221,67.1,90,2015,7
34,Taita Taveta,53,5,159,75.6,90,2015,7
35,Elgeyo Marakwet,25,28,148,87.6,90,2015,7
36,West Pokot,20,39,136,89.7,90,2015,7
37,Baringo,43,6,103,71.7,90,2015,7
38,Kwale,20,1,75,79.2,90,2015,7
39,Marsabit,24,1,70,74.7,90,2015,7
40,Lamu,10,0,54,84.4,90,2015,7
41,Garissa,17,3,21,58.5,90,2015,7
42,Isiolo,11,2,27,72.5,90,2015,7
43,Wajir,5,0,22,81.5,90,2015,7
44,Samburu,11,0,13,54.2,90,2015,7
45,Tana River,4,0,4,50.0,90,2015,7
46,Mandera,0,0,0,0.0,90,2015,7
0,Nairobi,1007,949,5737,86.9,90,2015,8
1,Kisumu,900,557,4299,84.4,90,2015,8
2,Siaya,853,438,3189,81.0,90,2015,8
3,Migori,533,239,3178,86.5,90,2015,8
4,Homa Bay,706,389,2741,81.6,90,2015,8
5,Mombasa,655,937,2195,82.7,90,2015,8
6,Busia,323,95,1338,81.6,90,2015,8
7,Kakamega,250,39,1286,84.1,90,2015,8
8,Uasin Gishu,437,199,891,71.4,90,2015,8
9,Kisii,336,229,911,77.2,90,2015,8
10,Kiambu,173,118,970,86.3,90,2015,8
