County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,12,445,399,83,0.79197995,0.812274368,0.735042735,147.6973,40.722720720720716
Bomet,38,722,1215,251,0.7934156379999999,0.810449575,0.762430939,,62.5
Bungoma,54,2072,2713,526,0.806118688,0.8205689279999999,0.773097826,,40.722720720720716
Busia,38,2794,4289,650,0.848449522,0.859667727,0.83225342,,40.722720720720716
Elgeyo Marakwet,9,118,149,49,0.67114094,0.712871287,0.583333333,,40.722720720720716
Embu,21,632,632,103,0.837025316,0.845070423,0.807909605,,40.722720720720716
Garissa,5,48,71,11,0.845070423,0.891304348,0.7826086959999999,62.8543,40.722720720720716
Homa Bay,171,10677,8426,1261,0.850344173,0.8518388179999999,0.8556541879999999,,40.722720720720716
Isiolo,4,57,61,20,0.672131148,0.653846154,0.7142857140000001,,40.722720720720716
Kajiado,20,705,695,124,0.821582734,0.841463415,0.7666666670000001,,32.5
Kakamega,92,1640,2733,518,0.810464691,0.8323353290000001,0.7640603570000001,,35.71
Kericho,34,879,1371,213,0.84463895,0.85520362,0.848275862,,40.722720720720716
Kiambu,50,2748,3663,366,0.9000819,0.9043760129999999,0.89242685,,35.0
Kilifi,23,934,575,92,0.84,0.861486486,0.8735632179999999,,40.722720720720716
Kirinyaga,10,588,700,82,0.882857143,0.8964803309999999,0.8638743459999999,,40.722720720720716
Kisii,110,3068,2560,455,0.822265625,0.830105147,0.815977175,,40.722720720720716
Kisumu,117,8008,11757,1496,0.872756656,0.8767797740000001,0.873847775,,40.722720720720716
Kitui,61,1675,1549,215,0.861200775,0.873345936,0.82278481,,40.722720720720716
Kwale,13,192,193,41,0.787564767,0.8842105259999999,0.7419354840000001,,38.57
Laikipia,13,486,550,81,0.852727273,0.881690141,0.8245614040000001,,40.722720720720716
Lamu,0,0,0,0,,,,67.0262,40.722720720720716
Machakos,53,2212,1959,277,0.858601327,0.875,0.833333333,,50.0
Makueni,51,1329,1391,187,0.865564342,0.8672936259999999,0.8601190479999999,,40.722720720720716
Mandera,0,0,0,0,,,,36.1979,40.722720720720716
Marsabit,3,32,42,6,0.857142857,0.9,0.727272727,75.131,30.55
Meru,38,894,892,114,0.872197309,0.881386861,0.8884615379999999,,40.722720720720716
Migori,101,4538,5466,628,0.88510794,0.8924972,0.874210224,,40.722720720720716
Mombasa,37,2882,2070,418,0.7980676329999999,0.7991038090000001,0.792063492,,40.722720720720716
Muranga,32,1376,1704,229,0.865610329,0.868243243,0.863905325,,40.722720720720716
Nairobi,137,10580,10417,1711,0.8357492559999999,0.844084378,0.837407618,,40.722720720720716
Nakuru,57,1966,2028,345,0.829881657,0.836805556,0.8164335659999999,,40.722720720720716
Nandi,16,353,1021,244,0.7610186090000001,0.782670455,0.737024221,,40.722720720720716
Narok,33,725,1056,213,0.798295455,0.8135818909999999,0.7698113209999999,,38.72
Nyamira,63,943,635,138,0.782677165,0.8074245940000001,0.7320261440000001,,40.722720720720716
Nyandarua,27,608,612,64,0.8954248370000001,0.9124293790000001,0.871794872,,40.722720720720716
Nyeri,25,1043,1455,216,0.851546392,0.8587746629999999,0.8484210529999999,,35.8
Samburu,4,63,64,23,0.640625,0.75,0.565217391,65.6213,40.722720720720716
Siaya,139,9651,12255,2371,0.8065279479999999,0.816933638,0.7868809959999999,,31.82
Taita Taveta,17,221,161,39,0.757763975,0.7894736840000001,0.606060606,,40.722720720720716
Tana River,2,19,39,13,0.666666667,0.666666667,0.75,146.785,40.722720720720716
Tharaka Nithi,11,325,294,55,0.81292517,0.8465909090000001,0.7766990290000001,,40.722720720720716
Trans Nzoia,16,925,1073,215,0.799627213,0.82419128,0.774691358,,40.722720720720716
Turkana,23,384,602,190,0.684385382,0.686956522,0.676923077,,27.87
Uasin Gishu,22,2996,3183,717,0.7747408109999999,0.783333333,0.774757282,215.3399,40.722720720720716
Vihiga,38,1238,1499,256,0.82921948,0.847474747,0.828358209,,40.722720720720716
Wajir,1,3,3,0,1.0,1.0,1.0,39.3932,40.722720720720716
West Pokot,5,135,172,55,0.6802325579999999,0.6699029129999999,0.6911764709999999,154.9611,40.722720720720716
