County,Suppression Total Test Valid Outcomes
Baringo,0.7745039051686881
Bomet,0.8384726145075663
Bungoma,0.7712883656738512
Busia,0.8192727126496293
Elgeyo Marakwet,0.7276560705072291
Embu,0.8226186674167776
Garissa,0.7390444970818077
Homa Bay,0.8655279320054996
Isiolo,0.6924122195970406
Kajiado,0.8536722622304951
Kakamega,0.8313265128763281
Kericho,0.8484926822337816
Kiambu,0.8771645020141763
Kilifi,0.8309108821176584
Kirinyaga,0.8752447813414805
Kisii,0.865786246236925
Kisumu,0.8604725745339006
Kitui,0.845923346333123
Kwale,0.8083186480698786
Laikipia,0.8202129356662118
Lamu,0.7507227171454788
Machakos,0.8586981065740505
Makueni,0.8740596665732908
Mandera,0.7480422615279592
Marsabit,0.7147834261955548
Meru,0.8205205481373609
Migori,0.868854919022802
Mombasa,0.848358110409242
Muranga,0.8736941607769623
Nairobi,0.8523873006574115
Nakuru,0.8546833029859912
Nandi,0.8138299179645743
Narok,0.8036507418375296
Nyamira,0.8095707246634763
Nyandarua,0.8723842732668524
Nyeri,0.8814109582167787
Samburu,0.6537278518711662
Siaya,0.8218606155614334
Taita Taveta,0.7567692509470276
Tana River,0.6662443119757117
Tharaka Nithi,0.8083193510504709
Trans Nzoia,0.7810247080437939
Turkana,0.6819250602914406
Uasin Gishu,0.7876870438945768
Vihiga,0.8485215297583306
Wajir,0.7700434231591503
West Pokot,0.7995336198761186
